Material,Description,Req_Count,Total_Est_Qty,Total_Act_Qty,Total_Est_Cost
NUT SA194-8M 3/4 HH,"Nut SA194-8M 3/4"" HH",24,620.0,620.0,912.03168
PIPE 316L 4 SC80 WLD X,"Pipe 316L 4"" Sch80 Welded",24,24.0,23.0,20303.02
NUT SA325 PLATED 5/8 HH,"Nut Sa325 Plated 5/8"" HH",24,243.0,231.0,59.59284
NUT 2H P 1.125 HH,"Nut 2H Plated 1.125"" HH",24,954.0,954.0,1815.9895999999997
NUT SA325 PLATED 1/2 HH,"Nut Sa325 Plated 1/2"" HH",23,384.0,372.0,60.594760000000015
"FLANGE SA105 1.5""150 BLIND","Flange SA105 1.5"" 150# BLIND",23,28.0,28.0,284.34400000000005
ELBOW 304L 2 SCH40 90 WLD,"Elbow 304L 2"" Sch40 90 Weld",23,233.0,179.0,2260.7200000000007
PIPE 304L 4 SC40 SML X,"Pipe 304L 4"" Sch40 Seamless",23,17.61,17.61,2766.7000000000003
"FLANGE 304L 1.5""150 WD NK","Flange 304L 1.5"" 150# WD NK",22,35.0,35.0,1121.9699999999998
PLT 316L 5/16 X 60 X,"Plate 316L 5/16""x 60""x",22,49.6,49.6,143812.4892
"FLANGE SA105 1.5""150 RFSO","Flange SA105 1.5"" 150# RFSO",22,54.0,54.0,677.0960000000001
PLT 304L 5/8 X 48 X,"Plate 304L 5/8""x 48""x",22,24.2,20.4,59732.58000000001
PLT SA516-1/2 X 120 X,"Plate SA516- 1/2""x120""x",22,28.0,7.0,151422.36999999997
"FLANGE SA105 10""150 RFSO","Flange SA105 10"" 150# RFSO",22,27.0,27.0,1773.699
"FLANGE 316L 3""150 LP JNT","Flange 316L 3"" 150# LP JNT",22,32.0,32.0,3287.23
PLT SA516-3/8 X 96 X 240,"Plate SA516- 3/8""x96""x240""",22,8.000000000000004,8.000000000000004,16976.36010000001
PIPE SA106 1.5 SC40ST  X,"Pipe SA106 1.5"" Sch40ST",22,11.0,11.0,1032.62
NUT SA325 5/8 HH,"Nut SA325 5/8"" HH",22,381.0,381.0,142.5136
FUEL,Fuel for Truck,22,26.5,32.5,1840.91
ROD SA36CS 1/2 X,"Rod SA36CS 1/2"" x",22,33.0,33.0,48.0
"PLT 316L 5/8""X X","Plate 316L 5/8""  x x",21,21.0,21.0,8226.619999999999
BOLT SA325-GALV 5/8X2 HH,"Bolt 325-GALV 5/8"" x 2"" HH",21,215.0,203.0,97.97909999999999
"FLANGE SA105 1.5""150 WD NK","Flange SA105 1.5"" 150# WD NK",21,73.0,73.0,984.49
FLAT 316L 1/4 X 3 X 12',"Flat Stk 316L 1/4""x 3""x 12'",21,50.0,50.0,4765.309700000001
ELBOW 304L 6 SCH40 90 WLD,"Elbow 304L 6"" Sch40 90 Weld",21,39.0,39.0,4381.620000000001
FLAT 316L 3/8 X 2 X 12',"Flat Stk 316L 3/8""x 2""x 12'",21,68.0,62.0,8727.744695
PLT SA36-1/4 X 60 X 240,"Plate SA36- 1/4""x60""x240""",21,34.0,33.0,16272.089
FLAT 304L 1/4 X 1.5 X 12',"Flat Stk 304L 1/4""x 1.5""x 12'",21,135.0,135.0,3076.3282
PIPE 316L 6 SC80 WLD X,"Pipe 316L 6"" Sch80 Welded",21,18.0,18.0,9689.119999999999
PIPE 316L 2 SC40 SML X,"Pipe 316L 2"" Sch40 Seamless",21,51.0,50.0,13888.47
"FLANGE 304L 12""150 WD NK","Flange 304L 12"" 150# WD NK",21,57.0,57.0,30192.65
PIPE 304L 3 SC80 WLD X,"Pipe 304L 3"" Sch80 Welded",21,18.0,18.0,4626.009999999999
"FLANGE 316L 8""150 WD NK","Flange 316L 8"" 150# WD NK",21,22.0,22.0,8601.560000000001
PIPE SA53B 4 SC80XS  X,"Pipe SA53B 4"" Sch80XS",20,13.4,13.4,1978.482
"FLANGE SA105 12""150 RFSO","Flange SA105 12"" 150# RFSO",20,23.0,23.0,2733.224
"FLANGE 304L 3""150 LP JNT","Flange 304L 3"" 150# LP JNT",20,63.0,63.0,3782.9800000000005
ELBOW 316L 3 SCH40 90 WLD,"Elbow 316L 3"" Sch40 90 Weld",20,48.0,48.0,1278.8200000000002
PLT AL2205 1/4 X,"Plate Alloy 2205 1/4""x",20,43.0,38.0,107330.17500000002
AG 316L 3/8 X 3 X 3 X 20',"Angle 316L 3/8""x 3""x 3""x 20'",20,34.0,33.0,13081.889799999999
"FLANGE SA105 6""150 WD NK","Flange SA105 6"" 150# WD NK",20,44.0,44.0,1170.4
ELBOW 304L 6 SCH40 45 WLD,"Elbow 304L 6"" Sch40 45 Weld",20,20.0,20.0,1032.72
PLT SA36-3/8 X 96 X 240,"Plate SA36- 3/8""x96""x240""",20,25.0,9.0,28557.105000000003
PLT SA36-1/4 X 48 X 240,"Plate SA36- 1/4""x48""x240""",20,28.999999999999993,28.999999999999993,10617.1504
PIPE SA53B 2.5 SC40ST  X,"Pipe SA53B 2.5"" Sch40ST",20,20.0,20.0,68.0
BOLT SA325-GALV 1/2X3 HH,"Bolt 325-GALV 1/2"" x 3"" HH",20,296.0,284.0,123.00260000000002
BOLT B8 5/8X2.5 HH,"Bolt B8 5/8"" x 2.5"" HH",20,152.0,152.0,649.51432
STUD SA193-B8 3/4 X 6.5,"Stud SA193-B8 3/4""x 6.5""",19,20.0,19.0,120.0
PIPE 304L 1 SC80 SML X,"Pipe 304L 1"" Sch80 Seamless",19,13.36,13.36,367.319
"FLANGE SA105 1""150 WD NK","Flange SA105 1"" 150# WD NK",19,21.0,21.0,362.58000000000004
PIPE SA106 4 SC80XS  X,"Pipe SA106 4"" Sch80XS",19,13.0,13.0,2572.310000000001
PIPE 304L 6 SC80 WLD X,"Pipe 304L 6"" Sch80 Welded",19,17.0,17.0,7669.489999999999
STUBEND 316L 2 SCH40,"Stubend 316L 2"" Sch40",19,51.0,51.0,751.8499999999999
PIPE 316L 8 SC80 WLD X,"Pipe 316L 8"" Sch80 Welded",19,18.0,18.0,13900.21
"STUDPAD 316L 2""150 STD","Studpad 316L 2"" 150# Std",19,29.0,23.0,5404.8
CPLG 316L 1/2 3000 FULL THRD,"Coupling 316L 1/2""3000 Full Th",18,27.0,27.0,81.61999999999998
"STUDPAD 304L 6""150 STD","Studpad 304L 6"" 150# Std",18,42.0,42.0,20363.76
"FLANGE 316L 2""150 LP JNT","Flange 316L 2"" 150# LP JNT",18,69.0,69.0,4043.7300000000005
"FLANGE 316L 10""150 RFSO","Flange 316L 10"" 150# RFSO",18,31.0,31.0,11480.230000000001
"FLANGE SA105 3""300 RFSO","Flange SA105 3"" 300# RFSO",18,28.0,28.0,543.655
DESIGN PREPARATION,Preparation of Drawings,18,11.0,11.0,63775.0
PIPE 304L 6 SC10 WLD X,"Pipe 304L 6"" Sch10 Welded",18,20.0,24.0,13881.119999999999
CHANNEL SA36 C6 8.2 X,Channel SA36 C6 8.2# x,18,59.0,50.0,4133.781
PIPE SA53B 1 SC40ST  X,"Pipe SA53B 1"" Sch40ST",18,35.0,35.0,608.41
FLAT 304L 1/4 X 2 X,"Flat Stk 304L 1/4""x 2""x",18,32.0,32.0,29.0
AG 304L 1/4 X 2 X 2 X,"Angle 304L 1/4""x 2""x 2""x",18,99.0,93.0,208.0
FLAT 316L 3/8 X 3 X 12',"Flat Stk 316L 3/8""x 3""x 12'",17,42.0,42.0,5086.6603
CPLG 316L 3/4 3000 HALF THRD,"Coupling 316L 3/4""3000 Half Th",17,45.0,45.0,205.61999999999998
BOLT SA325 3/4X2.5 HH,"Bolt SA325 3/4"" x 2.5"" HH",17,330.0,330.0,728.6710000000002
"FLANGE 316L 12""150 WD NK","Flange 316L 12"" 150# WD NK",17,18.0,17.0,11360.28
NUT 2H P 1 HH,"Nut 2H Plated 1"" HH",17,320.0,320.0,291.15714
ELBOW 304L 4 SCH40 45 WLD,"Elbow 304L 4"" Sch40 45 Weld",17,22.0,22.0,446.6
"FLANGE SA105 3/4""150 RFSO","Flange SA105 3/4"" 150# RFSO",17,40.0,40.0,305.206
STUBEND 316L 4 SCH40,"Stubend 316L 4"" Sch40",17,27.0,27.0,636.84
STUBEND 316L 1 SCH40,"Stubend 316L 1"" Sch40",17,39.0,39.0,1722.09
CPLG SA105 4 3000 HALF THRD,"Coupling 105 4""3000 Half Th",17,28.0,28.0,1961.12
PLT 316L 1/2 X 60 X,"Plate 316L 1/2""x 60""x",17,64.55,64.55,406889.60284
CPLG 316L 1 3000 FULL THRD,"Coupling 316L 1""3000 Full Th",17,52.0,51.0,386.63
PLT SA36-3/8 X 60 X 240,"Plate SA36- 3/8""x60""x240""",17,18.0,18.0,18184.7
PLT 304L 1 X 48 X,"Plate 304L 1""x48""x",17,12.25,11.25,26083.880600000004
ELBOW 316L 3 SCH40 45 WLD,"Elbow 316L 3"" Sch40 45 Weld",16,18.0,18.0,304.1800000000001
PLT 304L 5/8 X 60 X,"Plate 304L 5/8""x 60""x",16,46.0,42.0,193775.74
PIPE 304L 2 SC80 SML X,"Pipe 304L 2"" Sch80 Seamless",16,8.0,8.0,1083.3200000000002
"FLANGE 304L 1""150 WD NK","Flange 304L 1"" 150# WD NK",16,32.0,32.0,725.84
PIPE 316L 3 SC40 SML X,"Pipe 316L 3"" Sch40 Seamless",16,62.0,62.0,38534.178
STUBEND 316L 1.5 SCH40,"Stubend 316L 1.5"" Sch40",16,42.0,42.0,823.96
PIPE SA106 3 SC80XS  X,"Pipe SA106 3"" Sch80XS",16,11.0,11.0,1724.1799999999998
AG 304L 3/8 X 4 X 4 X 20',"Angle 304L 3/8""x 4""x 4""x 20'",16,24.0,24.0,9528.639900000002
"FLANGE 304L 2""150 LP JNT","Flange 304L 2"" 150# LP JNT",16,42.0,42.0,1380.68
"FLANGE 316L 8""150 BLIND","Flange 316L 8"" 150# BLIND",16,22.0,22.0,7613.06
COLLAR,Custom made Collar,16,23.0,17.0,975.1999999999998
"PLT 316L 3/8""X X","Plate 316L 3/8""  x x",15,39.0,40.0,899.6
"STUD 304L 3/4X9 W 3"" THREAD","Stud 304L 3/4""x 9"" w 3"" Thread",15,20.0,20.0,75.0
AG 316L 3/8 X 2 X 2 X 20',"Angle 316L 3/8""x 2""x 2""x 20'",15,32.0,24.0,10730.900000000001
BOLT SA325 5/8X2 HH,"Bolt SA325 5/8"" x 2"" HH",15,188.0,172.0,151.26000000000002
AG SA36 1/4 X 2 X 2 X,"Angle SA36 1/4""x 2""x 2""x",15,103.0,103.0,172.002
PLT SA36-3/4 X 48 X 240,"Plate SA36- 3/4""x48""x240""",15,3.000000000000001,3.000000000000001,3969.1
PERMITS,Overweight/Oversize Permits,15,18.0,18.0,7728.74
CPLG SA105 1.5 3000 FULL THRD,"Coupling 105 1.5""3000 Full Th",15,20.0,20.0,235.11599999999999
"FLANGE 304L 1.5""150 BLIND","Flange 304L 1.5"" 150# BLIND",15,15.0,15.0,625.9999999999998
CPLG 304L 1/2 3000 FULL THRD,"Coupling 304L 1/2""3000 Full Th",15,18.0,15.0,37.39
"FLANGE 316L 1.5""150 LP JNT","Flange 316L 1.5"" 150# LP JNT",15,46.0,46.0,3216.9500000000003
"FLANGE 316L 1""150 LP JNT","Flange 316L 1"" 150# LP JNT",15,38.0,38.0,1544.1299999999999
"STUDPAD 304L 2""150 STD","Studpad 304L 2"" 150# Std",15,31.0,29.0,8001.7
PIPE SA53B 6 SC80XS  X,"Pipe SA53B 6"" Sch80XS",15,12.0,12.0,1750.85
PIPE SA53B 12 ST  X,"Pipe SA53B 12"" SchST",15,8.1,7.1,2065.6150000000002
"STUDPAD 316L 3""150 STD","Studpad 316L 3"" 150# Std",15,15.0,13.0,7082.5
"FLANGE 304L 6""150 LP JNT","Flange 304L 6"" 150# LP JNT",14,27.0,27.0,3453.33
"FLANGE 2205 3""150 RFSO","Flange 2205 3"" 150 RFSO",14,35.0,34.0,4560.32
"FLANGE 2205 1""150 RFSO","Flange 2205 1"" 150 RFSO",14,42.0,42.0,1052.69
"FLANGE 304L 20""150 BLIND","Flange 304L 20"" 150# BLIND",14,15.0,15.0,29373.260000000002
"FLANGE 304L 12""150 BLIND","Flange 304L 12"" 150# BLIND",14,14.0,14.0,6531.25
FLAT 304L 1/2 X 2 X 12',"Flat Stk 304L 1/2""x 2""x 12'",14,26.0,12.0,1726.8874
"FLANGE 2205 2""150 RFSO","Flange 2205 2"" 150 RFSO",14,43.0,43.0,3415.52
"PLT 304L 3/4""XX","Plate 304L 3/4"" x x",14,22.5,26.5,39140.148
PIPE 304L 3 SC10 WLD X,"Pipe 304L 3"" Sch10 Welded",14,24.0,24.0,2712.37
ELBOW 304L 8 SCH40 90 WLD,"Elbow 304L 8"" Sch40 90 Weld",14,25.0,25.0,3400.35
PLT SA36-1/4 X 120 X,"Plate SA36- 1/4""x120""x",14,20.0,17.0,78833.4468
STUD SA193-B7 3/4 X 6.5,"Stud SA193-B7 3/4""x 6.5""",14,57.0,57.0,111.0552
"PLT SA36 3/8""X X","Plate SA36 3/8""  x x",14,64.0,64.0,3134.208
TRACTOR RENTAL,Weekly Tractor Rental,14,12.5,14.5,8159.12
AG 304L 1/4 X 3 X 3 X,"Angle 304L 1/4""x 3""x 3""x",14,36.0,36.0,357.998
"FLANGE SA105 3""150 LP JNT","Flange SA105 3"" 150# LP JNT",14,91.0,90.0,1796.9499999999998
NUT SA325 1/2 HH,"Nut SA325 1/2"" HH",13,428.0,428.0,74.79679999999999
"FLANGE 316L 24""150 WD NK","Flange 316L 24"" 150# WD NK",13,39.0,18.0,55727.3
"FLANGE 316L 1.5""150 BLIND","Flange 316L 1.5"" 150# BLIND",13,23.0,23.0,1348.52
CPLG SA105 3/4 3000 HALF THRD,"Coupling 105 3/4""3000 Half Th",13,17.0,17.0,40.08
"FLANGE 2205 6""150 RFSO","Flange 2205 6"" 150 RFSO",13,36.0,36.0,8048.720000000001
BOLT SA325 1/2X3 HH,"Bolt SA325 1/2"" x 3"" HH",13,402.0,346.0,313.0192
PLT SA36-1/4 X 120 X 240,"Plate SA36- 1/4""x120""x240""",13,41.0,41.0,53144.337999999996
NUT 2H P 7/8 HH,"Nut 2H Plated 7/8"" HH",13,364.0,324.0,223.5432
ELBOW 316L 8 SCH40 90 WLD,"Elbow 316L 8"" Sch40 90 Weld",13,22.0,22.0,3727.28
PIPE SA106 1 SC80XS  X,"Pipe SA106 1"" Sch80XS",13,33.0,9.0,3427.88
ELBOW 304L 1 SCH40 45 WLD,"Elbow 304L 1"" Sch40 45 Weld",13,17.0,16.0,79.09
PLT SA36-3/8 X 72 X 240,"Plate SA36- 3/8""x72""x240""",13,21.0,21.0,17793.920000000002
PLT SA36-1/4 X 60 X 144,"Plate SA36- 1/4""x60""x144""",13,10.0,10.0,2950.7799999999997
"FLANGE 316L 4""150 LP JNT","Flange 316L 4"" 150# LP JNT",13,28.0,28.0,2338.23
PLT SA36-3/8 X 48 X 240,"Plate SA36- 3/8""x48""x240""",13,19.0,19.0,11344.991959999998
PLT SA516-3/8 X 96 X,"Plate SA516- 3/8""x96""x",13,12.0,12.0,46300.89
CPLG SA105 1/2 3000 HALF THRD,"Coupling 105 1/2""3000 Half Th",13,27.0,27.0,58.75999999999999
PIPE 304L 6 SC40 SML X,"Pipe 304L 6"" Sch40 Seamless",13,8.5,8.5,3553.9400000000005
"FLANGE SA105 8""150 BLIND","Flange SA105 8"" 150# BLIND",13,16.0,16.0,947.7120000000001
PIPE SA53B 8 SC80XS  X,"Pipe SA53B 8"" Sch80XS",12,6.550000000000001,6.000000000000001,1699.7145
NUT 2H 1/2 HH,"Nut 2H 1/2"" HH",12,187.0,179.0,56.276
BOLT B7 PL 3/4X3 HH,"Bolt B7 Plated 3/4"" x 3"" HH",12,590.0,576.0,2414.399999999999
PLT SA516-1/2 X 120 X 360,"Plate SA516- 1/2""x120""x360""",12,13.0,12.0,59411.88
PLT SA516-1/4 X 120 X,"Plate SA516- 1/4""x120""x",12,14.9,15.0,72974.37000000001
"FLANGE 316L 6""150 LP JNT","Flange 316L 6"" 150# LP JNT",12,15.0,15.0,3179.5
ROD 316L 3/4 X 12',"Rod 6/316L 3/4""x 12'",12,4.4,6.000000000000002,219.79
ELBOW 304L 10 SCH40 45 WLD,"Elbow 304L 10"" Sch40 45 Weld",12,12.0,12.0,2437.39
ELBOW 304L 8 SCH40 45 WLD,"Elbow 304L 8"" Sch40 45 Weld",12,12.0,11.0,1163.7199999999998
"FLANGE SA105 1""150 BLIND","Flange SA105 1"" 150# BLIND",12,18.0,18.0,224.18200000000002
PIPE SA106 1.5 SC80XS  X,"Pipe SA106 1.5"" Sch80XS",12,32.0,32.0,3944.17
"FLANGE 304L 4""150 LP JNT","Flange 304L 4"" 150# LP JNT",12,21.0,22.0,1059.07
PLT AL2205 3/8 X,"Plate Alloy 2205 3/8""x",12,41.0,23.0,247256.22
FLAT 304L 3/8 X 3 X 12',"Flat Stk 304L 3/8""x 3""x 12'",12,23.0,23.0,1995.0700000000002
PLT AL2205 1/2 X,"Plate Alloy 2205 1/2""x",12,176.0,142.0,1201044.17365
GRATING CS 3/16 X 1.25-2X20,"Grating CS 3/16""x1.25""-2'x20'",12,14.0,14.0,5305.42
BOLT B8 1/2X1.5 HH,"Bolt B8 1/2"" x 1.5"" HH",12,182.0,182.0,268.37
"FLANGE 304L 1""150 LP JNT","Flange 304L 1"" 150# LP JNT",12,36.0,36.0,451.59999999999997
"FLANGE SA105 4""300 RFSO","Flange SA105 4"" 300# RFSO",12,24.0,24.0,487.23799999999994
FLAT 304L 1/4 X 1.5 X,"Flat Stk 304L 1/4""x 1.5""x",12,20.0,19.0,140.0
"FLANGE SA105 2""150 LP JNT","Flange SA105 2"" 150# LP JNT",12,36.0,36.0,502.84599999999995
BOLT B7 5/8X3 HH,"Bolt B7 5/8"" x 3"" HH",12,268.0,268.0,671.9599999999999
PIPE 316L 4 SC40 SML X,"Pipe 316L 4"" Sch40 Seamless",11,9.0,9.0,2945.8199999999997
STUD SA193-B8M 1.25 X 7,"Stud SA193-B8M 1.25""x 7""",11,240.0,240.0,3526.308
NUT SA194-8M 1.25 HH,"Nut SA194-8M 1.25"" HH",11,456.0,456.0,2848.4639999999995
PIPE 316L 2 SC160 WLD X,"Pipe 316L 2"" Sch160 Welded",11,14.0,14.0,2697.49
SHEET 11 GA 4 3/4 X 12,"Sheet 11 Gauge 4 3/4"" x 12""",11,11.0,11.0,23.0
"PLT SA36 3/16""X X","Plate SA36 3/16""  x x",11,32.0,40.0,845.0398
BOLT B7 PL 3/4X4.5 HH,"Bolt B7 Plated 3/4"" x 4.5"" HH",11,108.0,110.0,498.79999999999984
ELBOW 316L 2 SCH40 90 WLD,"Elbow 316L 2"" Sch40 90 Weld",11,26.0,27.0,422.44
PIPE 316L 6 SC80 SML X,"Pipe 316L 6"" Sch80 Seamless",11,9.0,9.0,9030.210000000001
PLT 304L 3/8 X 72 X,"Plate 304L 3/8""x 72""x",11,15.0,15.0,49218.95999999999
"STUDPAD 316L 1""150 STD","Studpad 316L 1"" 150# Std",11,11.0,11.0,1964.3
PLT SA36-5/8 X 60 X 96,"Plate SA36- 5/8""x60""x96""",11,4.0,4.0,2958.05
PIPE 304L 12 SC10 WLD X,"Pipe 304L 12"" Sch10 Welded",11,18.0,18.0,14880.2
NUT SA194-8M 1/2 HH,"Nut SA194-8M 1/2"" HH",11,195.0,195.0,135.48976
PIPE 304L 8 SC80 WLD X,"Pipe 304L 8"" Sch80 Welded",11,11.0,11.0,19221.95
PIPE SA106 3/4 SC80XS  X,"Pipe SA106 3/4"" Sch80XS",11,13.0,13.0,485.24
"FLANGE SA105 6""300 RFSO","Flange SA105 6"" 300# RFSO",11,17.0,17.0,673.278
"FLANGE SA105 12""150 WD NK","Flange SA105 12"" 150# WD NK",11,13.0,13.0,2168.0
STUBEND 316L 6 SCH40,"Stubend 316L 6"" Sch40",11,14.0,14.0,786.0699999999999
PLT SA36-1/4 X 96 X,"Plate SA36- 1/4""x96""x",11,25.0,25.0,67809.14779999999
PLT SA516-1/2 X 96 X 360,"Plate SA516- 1/2""x96""x360""",11,11.7,11.0,50320.967
CPLG 304L 2 3000 FULL THRD,"Coupling 304L 2""3000 Full Th",11,25.0,19.0,488.868
AG SA36 3/8 X 2 X 2 X 20',"Angle SA36 3/8""x 2""x 2""x 20'",11,41.0,41.0,2356.4927999999995
"PLT 316L 3/16""X X","Plate 316L 3/16""  x x",11,28.0,28.0,15580.55
ROD 316L 1/2 X 12',"Rod 6/316L 1/2""x 12'",11,28.0,28.0,976.97
PLT SA36-3/8 X 48 X 144,"Plate SA36- 3/8""x48""x144""",11,9.0,9.0,4261.250000000001
PIPE 304L 1 SC40 SML X,"Pipe 304L 1"" Sch40 Seamless",10,12.0,12.0,980.1899999999999
PIPE 304L 10 SC10 WLD X,"Pipe 304L 10"" Sch10 Welded",10,20.0,20.0,15303.01
"FLANGE 316L 10""150 WD NK","Flange 316L 10"" 150# WD NK",10,10.0,10.0,5541.05
"FLANGE 316L 1""150 BLIND","Flange 316L 1"" 150# BLIND",10,8.0,9.0,179.7
"FLANGE 304L 1.5""150 LP JNT","Flange 304L 1.5"" 150# LP JNT",10,26.0,26.0,603.21
PLT SA36-3/16 X 96 X 240,"Plate SA36- 3/16""x96""x240""",10,10.0,10.0,5115.490399999999
CPLG SA105 3 3000 FULL THRD,"Coupling 105 3""3000 Full Th",10,22.0,18.0,545.12
CPLG 316L 1 3000 HALF THRD,"Coupling 316L 1""3000 Half Th",10,56.0,56.0,361.14
"PLT 316L 3/4""X X","Plate 316L 3/4"" x x",10,14.1,18.1,84913.9712
PIPE SA53B 12 SC40  X,"Pipe SA53B 12"" Sch40",10,6.55,6.0,864.5690000000001
PIPE 304L 3 SC80 SML X,"Pipe 304L 3"" Sch80 Seamless",10,5.0,5.0,1326.7600000000002
"FLANGE 2205 4""150 RFSO","Flange 2205 4"" 150 RFSO",10,18.0,18.0,2549.8500000000004
AG SA36 1/4 X 1.5 X 1.5 X 20',"Angle SA36 1/4""x 1.5""x1.5""x20'",10,41.0,41.0,1401.0298
PIPE SA106 8 SC80XS  X,"Pipe SA106 8"" Sch80XS",10,7.0,7.0,3901.77
"FLANGE 304L 2""300 RFSO","Flange 304L 2"" 300# RFSO",10,31.0,31.0,2497.0
PIPE 304L 2 SC10 WLD X,"Pipe 304L 2"" Sch10 Welded",10,16.0,16.0,2141.7
PIPE 304L 4 SC10 WLD X,"Pipe 304L 4"" Sch10 Welded",10,12.0,11.0,468.83000000000004
PLT SA36-3/16 X 96 X,"Plate SA36- 3/16""x96""x",10,21.0,21.0,48097.749800000005
PLT SA516-1/2 X 60 X 240,"Plate SA516- 1/2""x60""x240""",10,0.9999999999999999,0.9999999999999999,1395.1
"FLANGE SA105 4""150 LP JNT","Flange SA105 4"" 150# LP JNT",10,16.0,16.0,297.72
ROD A36HR 1/2 X,"Rod A36HR 1/2"" x",10,20.0,20.0,19.997999999999998
BOLT B7 PL 5/8X3.5 HH,"Bolt B7 Plated 5/8"" x 3.5"" HH",10,109.0,109.0,393.8364
ROD 304L 1/4 X 12',"Rod 4/304L 1/4""x 12'",10,18.0,18.0,178.78984
AG 316L 3/16 X 2 X 2 X 20',"Angle 316L 3/16""x 2""x 2""x 20'",10,17.0,17.0,3010.52
FLAT 304L 1/4 X 1 X 12',"Flat Stk 304L 1/4""x 1""x 12'",10,34.0,34.0,511.0998800000001
PLT 304L 10GA X 72 X,"Plate 304L 10GA""x 72""x",9,16.0,16.0,7754.230699999999
CPLG 304L 1.5 3000 HALF THRD,"Coupling 304L 1.5""3000 Half Th",9,10.0,10.0,95.14999999999999
PIPE 316L 2 SC80 SML X,"Pipe 316L 2"" Sch80 Seamless",9,5.0,5.0,1782.22
NUT SA194-8 1/4 HH,"Nut SA194-8 1/4"" HH",9,116.0,116.0,32.906
PLT SA36-1/2 X 72 X 240,"Plate SA36- 1/2""x72""x240""",9,3.4000000000000004,3.4000000000000004,3825.132
AG SA36 1/4 X 3 X 3 X,"Angle SA36 1/4""x 3""x 3""x",9,20.0,20.0,239.95
PLT SA36-5/8 X 48 X 96,"Plate SA36- 5/8""x48""x96""",9,6.3,5.3,2871.9849999999997
BOLT B8M 3/4X2.5 HH,"Bolt B8M 3/4"" x 2.5"" HH",9,258.0,258.0,1551.2
"FLANGE 304L 8""150 LP JNT","Flange 304L 8"" 150# LP JNT",9,18.0,18.0,5914.04
PLT SA36-3/16 X 48 X 240,"Plate SA36- 3/16""x48""x240""",9,11.0,11.0,3643.7
BOLT B8 1/2X2.5 HH,"Bolt B8 1/2"" x 2.5"" HH",9,36.0,36.0,85.68
FLAT 316L 1/4 X 1 X 12',"Flat Stk 316L 1/4""x 1""x 12'",9,23.0,23.0,1007.0199999999999
BOLT B7 PL 3/4X4 HH,"Bolt B7 Plated 3/4"" x 4"" HH",9,98.0,98.0,518.6
PLT SA36-1/4 X 120 X 360,"Plate SA36- 1/4""x120""x360""",9,17.0,17.0,49835.01007999999
FLAT 304L 1/4 X 2.5 X 12',"Flat Stk 304L 1/4""x 2.5""x 12'",9,44.0,36.0,2229.1
FLAT 304L 3/4 X 4 X,"Flat Stk 304L 3/4""x 4""x",9,22.0,22.0,869.55
PIPE SA106 6 SC80XS  X,"Pipe SA106 6"" Sch80XS",9,7.0,7.0,1873.66
"FLANGE SA105 20""150 RFSO","Flange SA105 20"" 150# RFSO",9,10.0,10.0,4288.1900000000005
"FLANGE 2205 2""150 BLIND","Flange 2205 2"" 150 BLIND",9,14.0,14.0,1193.3700000000001
TRAVEL,Meals and Lodging,9,15.0,18.0,742.18
ELBOW 316L 6 SCH40 90 WLD,"Elbow 316L 6"" Sch40 90 Weld",9,11.0,11.0,1137.96
PLT SA36-3/16 X 60 X 240,"Plate SA36- 3/16""x60""x240""",9,14.0,14.0,8639.45
PLT SA36-3/8 X 60 X,"Plate SA36- 3/8""x60""x",9,7.0,7.0,9420.29
"FLANGE 316L 12""150 BLIND","Flange 316L 12"" 150# BLIND",9,9.0,8.0,6631.960000000001
GASKET RING 1/8X16 150#,"Gasket Ring 1/8""x16"" 150#",9,10.0,10.0,595.2199999999999
"FLANGE 304L 8""150 BLIND","Flange 304L 8"" 150# BLIND",9,12.0,12.0,2307.79
PLT 304L 1/2 X 72 X,"Plate 304L 1/2""x 72""x",9,11.0,11.0,34068.369999999995
PIPE 316L 1 SC40 SML X,"Pipe 316L 1"" Sch40 Seamless",9,46.0,46.0,832.4999999999999
PIPE 304L 14 SC40 WLD X,"Pipe 304L 14"" Sch40 Welded",9,8.0,7.0,2125.43
PIPE 316L 3/4 SC40 WLD X,"Pipe 316L 3/4"" Sch40 Welded",9,9.0,8.0,1339.31
PIPECAP 316L 2 SC40,"Pipe Cap 316L 2"" Sch40",9,22.0,22.0,224.08
"FLANGE 2205 10""150 RFSO","Flange 2205 10"" 150 RFSO",9,16.0,18.0,8257.43
STUBEND 304L 3 SCH40,"Stubend 304L 3"" Sch40",8,13.0,13.0,281.09999999999997
FLAT 316L 1/2 X 3 X 12',"Flat Stk 316L 1/2""x 3""x 12'",8,10.0,10.0,3372.96
PIPE 316L 6 SC40 SML X,"Pipe 316L 6"" Sch40 Seamless",8,7.0,7.0,2290.5000000000005
PIPE 316L 2.5 SC40 WLD X,"Pipe 316L 2.5"" Sch40 Welded",8,6.0,6.0,203.57
"STUDPAD 304L 1""150 STD","Studpad 304L 1"" 150# Std",8,9.0,9.0,1177.9
"FLANGE 2205 8""150 RFSO","Flange 2205 8"" 150 RFSO",8,18.0,18.0,6197.679999999999
GASKET RING 1/8X10 150#,"Gasket Ring 1/8""x10"" 150#",8,10.0,9.0,232.79000000000002
"FLANGE SA105 24""150 WD NK","Flange SA105 24"" 150# WD NK",8,14.0,14.0,15707.82
